ListFormatIsList,SpecialSymbolsCount,WordsCount,SymbolCount,Lowercase,Uppercase,LastSymbolPd,FirstKeyWord,PrevElementMark,CurElementMark,FullBold,Alignment,KeepLinesTogether,LeftIndentation,LineSpacing,NoSpaceBetweenParagraphsOfSameStyle,OutlineLevel,RightIndentation,SpaceAfter,SpaceBefore,SpecialIndentation
FALSE,3,11,66,FALSE,FALSE,,,c1,c1,FALSE,Justify,FALSE,33,1,FALSE,BodyText,0,0,8.35,0
FALSE,6,62,461,FALSE,FALSE,.,,m0,c1,FALSE,Justify,FALSE,5,"1,4666666666666666",FALSE,BodyText,7.2,0,"3,9000000000000004",0
FALSE,1,11,79,FALSE,FALSE,.,TitleLevel1,g0,m0,FALSE,Left,FALSE,5,1,FALSE,BodyText,0,0,7.95,0
FALSE,7,110,963,FALSE,FALSE,.,,c1,c1,FALSE,Justify,FALSE,5,"1,4666666666666666",FALSE,BodyText,7.2,0,8.35,-28
FALSE,3,28,211,FALSE,FALSE,,,c1,c1,FALSE,Justify,FALSE,5,"1,4583333333333333",FALSE,BodyText,7.2,0,"8,700000000000001",-28
FALSE,0,1,0,TRUE,TRUE,,,c1,g0,FALSE,Left,FALSE,0,1,FALSE,BodyText,0,0,"0,30000000000000004",0
FALSE,7,31,277,FALSE,FALSE,.,TitleLevel1,g0,m0,FALSE,Left,FALSE,5,1.0875,FALSE,BodyText,0,0,7.95,0
FALSE,8,20,248,FALSE,FALSE,.,TitleLevel1,m0,m0,FALSE,Left,FALSE,5,1.0875,FALSE,BodyText,0,0,"9,600000000000001",0
FALSE,2,3,27,FALSE,FALSE,.,,m0,m0,FALSE,Left,FALSE,5,"1,1416666666666666",FALSE,BodyText,0,0,0,0
FALSE,5,60,463,FALSE,FALSE,.,,m0,c1,FALSE,Justify,FALSE,5,"1,4666666666666666",FALSE,BodyText,7.2,0,"3,9000000000000004",0
FALSE,5,47,399,FALSE,FALSE,.,,c1,c1,FALSE,Justify,FALSE,5,"1,4791666666666667",FALSE,BodyText,7.2,0,"7,050000000000001",-28
FALSE,3,45,369,FALSE,FALSE,.,,c1,c1,FALSE,Justify,FALSE,5,"1,4791666666666667",FALSE,BodyText,7.2,0,8.35,-28
FALSE,2,11,76,FALSE,FALSE,.,TitleLevel1,m0,m0,FALSE,Left,FALSE,5,1,FALSE,BodyText,0,0,"10,950000000000001",0
FALSE,0,1,0,TRUE,TRUE,,,n0,g0,FALSE,Left,FALSE,0,1,FALSE,BodyText,0,0,11.25,0
FALSE,9,29,215,FALSE,FALSE,.,TitleLevel1,g0,m0,FALSE,Left,FALSE,5,1.0875,FALSE,BodyText,0,0,7.95,0
FALSE,3,7,45,FALSE,FALSE,,TitleLevel1,m0,m0,FALSE,Left,FALSE,5,1,FALSE,BodyText,0,0,"9,600000000000001",0
FALSE,7,147,1089,FALSE,FALSE,:,,m0,c2,FALSE,Justify,FALSE,5,"1,4666666666666666",FALSE,BodyText,7.2,0,"3,9000000000000004",-28
FALSE,3,46,368,FALSE,FALSE,.,,c1,c1,FALSE,Justify,FALSE,5,"1,4791666666666667",FALSE,BodyText,7.2,0,7,-28
TRUE,4,7,51,FALSE,TRUE,;,,d1,d2,FALSE,Justify,FALSE,61.75,1,FALSE,BodyText,0,0,14.9,"14,200000000000001"
TRUE,1,4,29,FALSE,TRUE,;,,d2,d2,FALSE,Left,FALSE,61.75,1,FALSE,BodyText,0,0,14.4,"14,200000000000001"
TRUE,1,3,22,FALSE,TRUE,.,,d2,d3,FALSE,Left,FALSE,61.75,1,FALSE,BodyText,0,0,15.4,"14,200000000000001"
FALSE,4,34,268,FALSE,FALSE,,,n0,c1,FALSE,Justify,FALSE,5,"1,4666666666666666",FALSE,BodyText,7.2,0,0.05,-28
FALSE,3,18,142,FALSE,FALSE,.,TitleLevel1,c1,m0,FALSE,Left,FALSE,5,1.0875,FALSE,BodyText,0,0,7.95,0
TRUE,2,6,54,FALSE,TRUE,;,,d2,d2,FALSE,Left,FALSE,61.75,1,FALSE,BodyText,0,0,14.9,"14,200000000000001"
FALSE,5,53,436,FALSE,FALSE,.,,m0,c1,FALSE,Justify,FALSE,5,"1,4666666666666666",FALSE,BodyText,7.2,0,"3,9000000000000004",0
FALSE,3,18,146,FALSE,FALSE,.,TitleLevel1,m0,m0,FALSE,Left,FALSE,5,1.0875,FALSE,BodyText,0,0,9.65,0
FALSE,3,26,223,FALSE,FALSE,.,,c1,c1,FALSE,Justify,FALSE,5,"1,4666666666666666",FALSE,BodyText,7.2,0,8.35,-28
FALSE,6,43,365,FALSE,FALSE,.,,c1,c1,FALSE,Justify,FALSE,5,"1,4666666666666666",FALSE,BodyText,7.2,0,8.35,-28
FALSE,7,62,490,FALSE,FALSE,,,c1,c1,FALSE,Justify,FALSE,5,"1,4666666666666666",FALSE,BodyText,7.2,0,8,-28
FALSE,0,1,0,TRUE,TRUE,,,c1,g0,FALSE,Left,FALSE,0,1,FALSE,BodyText,0,0,7.5,0
FALSE,3,20,160,FALSE,FALSE,.,TitleLevel1,m0,m0,FALSE,Left,FALSE,5,1.0875,FALSE,BodyText,0,0,8.9,0
FALSE,3,14,112,FALSE,FALSE,.,TitleLevel1,g0,m0,FALSE,Left,FALSE,5,1.0875,FALSE,BodyText,0,0,"8,200000000000001",0
